"DATA DE RESULTADO DA COMPRA";"DATA DE ABERTURA";"ORGÃO SUPERIOR LICITANTE";"ÓRGÃO / ENTIDADE VINCULADA LICITANTE";"UNIDADE GESTORA";"SITUAÇÃO";"MODALIDADE DA LICITAÇÃO";"INSTRUMENTO LEGAL DE CONTRATAÇÃO";"NÚMERO DA LICITAÇÃO";
"02/01/2024";"28/11/2023";"Ministério da Defesa";"Comando do Exército";"COMANDO 13  BDA DE INFANTARIA MOTORIZADA";"Evento de Resultado de Julgamento Publicado";"Pregão";"Contrato";"00008/2023";
"02/01/2024";"Sem informação";"Ministério da Defesa";"Fundação Habitacional do Exército";"FUND.HAB.EXERCITO - DIFERENCA DA INTEGRACAO";"Evento de Resultado de Julgamento Publicado";"Concorrência";"Contrato";"00861/2023";
"02/01/2024";"02/01/2024";"Ministério da Defesa";"Comando da Aeronáutica";"GRUPAMENTO DE APOIO DE CANOAS";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00127/2023";
"02/01/2024";"30/10/2023";"Ministério da Defesa";"Comando do Exército";"51 BATALHAO DE INFANTARIA DE SELVA";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00018/2023";
"02/01/2024";"07/12/2023";"Ministério do Desenvolvimento Regional";"Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba";"CIA DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00013/2023";
"02/01/2024";"06/11/2023";"MINISTERIO DO TRABALHO E EMPREGO";"MINISTERIO DO TRABALHO E EMPREGO";"SERVIÇO SOCIAL DO COMÉRCIO - SESC MG";"Divulgado";"Pregão";"Sem informação";"00220/2023";
"02/01/2024";"02/01/2024";"Ministério da Educação";"Universidade Federal Rural de Pernambuco";"UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO";"Publicado";"Pregão";"Sem informação";"00039/2023";
"02/01/2024";"12/04/2023";"Ministério da Defesa";"Comando do Exército";"51 BATALHAO DE INFANTARIA DE SELVA";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00002/2023";
"02/01/2024";"27/12/2023";"Ministério do Desenvolvimento Regional";"Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba";"CIA DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00059/2023";
"03/01/2024";"Sem informação";"Ministério da Infraestrutura";"Ministério da Infraestrutura - Unidades com vínculo direto";"COMPANHIA DOCAS DO RIO DE JANEIRO";"Encerrado";"Dispensa de Licitação";"Contrato";"00021/2023";
"03/01/2024";"19/12/2023";"Ministério da Educação";"Instituto Federal Sul-rio-grandense";"INST.FED.SUL-RIO-GRANDENSE/CAMPUS PELOTAS";"Evento de Alteração Publicado";"Pregão - Registro de Preço";"Sem informação";"00039/2023";
"03/01/2024";"05/12/2023";"Ministério da Defesa";"Comando da Marinha";"ESCOLA DE APRENDIZES-MARINHEIROS DO ES";"Evento de Suspensão Publicado";"Pregão - Registro de Preço";"Sem informação";"00016/2023";
"03/01/2024";"27/12/2023";"Ministério da Defesa";"Comando do Exército";"CENTRO DE INTELIGENCIA DO EXERCITO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00017/2023";
"03/01/2024";"13/11/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO JULIO MULLER";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00083/2023";
"03/01/2024";"20/10/2023";"Ministério da Defesa";"Comando do Exército";"21 COMPANHIA DE ENGENHARIA CONSTRUCAO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00016/2023";
"03/01/2024";"21/12/2023";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"CG DE MATERIAL E PATRIMONIO - CGMAP/SAA";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Contrato";"00030/2023";
"03/01/2024";"13/12/2023";"Ministério da Educação";"UNIVERSIDADE FEDERAL DO DELTA DO PARNAIBA";"UNIVERSIDADE FEDERAL DO DELTA DO PARNAIBA";"Divulgado";"Pregão - Registro de Preço";"Sem informação";"00006/2023";
"03/01/2024";"23/03/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DA UFMA";"Evento de Suspensão Publicado";"Pregão - Registro de Preço";"Sem informação";"00127/2022";
"03/01/2024";"27/10/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO JULIO MULLER";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00078/2023";
"03/01/2024";"21/12/2023";"Ministério da Educação";"Instituto Federal Sul-rio-grandense";"INST.FED.SUL-RIO-GRANDENSE/CAMPUS PELOTAS";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00040/2023";
"03/01/2024";"15/08/2023";"Ministério da Educação";"Instituto Federal Sul-rio-grandense";"INST.FED.SUL-RIO-GRANDENSE/CAMPUS PELOTAS";"Evento de Alteração Publicado";"Pregão - Registro de Preço";"Sem informação";"00013/2023";
"03/01/2024";"17/08/2023";"Ministério da Defesa";"Comando do Exército";"INSTITUTO DE BIOLOGIA DO EXERCITO";"Evento de Alteração Publicado";"Pregão - Registro de Preço";"Sem informação";"00003/2023";
"03/01/2024";"Sem informação";"Ministério da Agricultura, Pecuária e Abastecimento";"Empresa Brasileira de Pesquisa Agropecuária";"EMBRAPA/SGE-GCIN";"Publicado";"Inexigibilidade de Licitação";"Sem informação";"00035/2023";
"03/01/2024";"Sem informação";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL ESCOLA DA UFPEL";"Encerrado";"Dispensa de Licitação";"Sem informação";"00097/2023";
"03/01/2024";"15/12/2023";"Ministério do Turismo";"Agência Nacional do Cinema";"AGENCIA NACIONAL DO CINEMA";"Evento de Resultado de Julgamento Publicado";"Pregão";"Contrato";"00017/2023";
"03/01/2024";"29/12/2023";"Ministério da Defesa";"Comando da Marinha";"CAPITANIA DOS PORTOS DO RIO DE JANEIRO.";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00003/2023";
"03/01/2024";"Sem informação";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DA UFMA";"Publicado";"Dispensa de Licitação";"Contrato";"00057/2023";
"03/01/2024";"25/09/2023";"Ministério da Defesa";"Comando do Exército";"7º BATALHAO DE ENGENHARIA DE CONSTRUCAO";"Publicado";"Pregão - Registro de Preço";"Contrato";"00015/2023";
"03/01/2024";"12/12/2023";"Ministério de Minas e Energia";"Companhia de Pesquisa de Recursos Minerais";"COMPANHIA DE PESQUISA DE RECURSOS MINERAIS";"Evento de Alteração Publicado";"Pregão";"Sem informação";"00230/2023";
"03/01/2024";"26/12/2023";"Ministério da Educação";"Fundação Universidade Federal de São Carlos";"FUNDACAO UNIVERSIDADE FEDERAL DE SAO CARLOS";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00033/2023";
"03/01/2024";"11/12/2023";"Ministério da Educação";"Instituto Federal do Paraná";"INST. FED. DO PARANA/ REITORIA";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00064/2023";
"03/01/2024";"28/11/2023";"MINISTERIO DA SAUDE";"MINISTERIO DA SAUDE";"EMP. BRAS. DE HEMODERIVADOS E BIOTECNOLOGIA";"Publicado";"Pregão";"Sem informação";"00033/2023";
"03/01/2024";"28/12/2023";"Ministério do Desenvolvimento Regional";"Companhia Brasileira de Trens Urbanos";"CIA.BRASILEIRA DE TRENS URBANOS-STU/REC";"Publicado";"Pregão";"Sem informação";"00061/2023";
"03/01/2024";"22/12/2023";"MINISTERIO DA SAUDE";"MINISTERIO DA SAUDE";"EMP. BRAS. DE HEMODERIVADOS E BIOTECNOLOGIA";"Publicado";"Pregão";"Sem informação";"00038/2023";
"03/01/2024";"11/12/2023";"Ministério da Defesa";"Comando da Aeronáutica";"SEGUNDO CENTRO INT.DEF.AEREA CONTR.TFG.AEREO";"Publicado";"Pregão";"Contrato";"00102/2023";
"03/01/2024";"06/12/2023";"Ministério do Meio Ambiente";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"IBAMA - SUPERINTENDENCIA DO AMAZONAS/AM";"Evento de Alteração Publicado";"Pregão";"Contrato";"00012/2023";
"03/01/2024";"20/12/2023";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"HOSPITAL FEDERAL DE IPANEMA";"Publicado";"Pregão";"Contrato";"00050/2023";
"03/01/2024";"23/11/2023";"Ministério da Defesa";"Comando da Aeronáutica";"BASE AEREA DE RECIFE";"Publicado";"Pregão";"Contrato";"00082/2023";
"03/01/2024";"19/12/2023";"Ministério da Justiça e Segurança Pública";"Departamento de Polícia Federal";"SUPERINTENDENCIA REGIONAL NO ESTADO DO RJ";"Publicado";"Pregão";"Contrato";"00031/2023";
"03/01/2024";"10/11/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DA UFJF";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00082/2023";
"03/01/2024";"Sem informação";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DA UFMA";"Encerrado";"Dispensa de Licitação";"Sem informação";"00063/2023";
"03/01/2024";"29/12/2023";"Ministério do Desenvolvimento Regional";"Companhia Brasileira de Trens Urbanos";"CIA. BRASILEIRA DE TRENS URBANOS - STU/JOP";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00018/2023";
"03/01/2024";"Sem informação";"Ministério da Agricultura, Pecuária e Abastecimento";"Empresa Brasileira de Pesquisa Agropecuária";"EMBRAPA/CNPAT";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00003/2023";
"03/01/2024";"03/01/2024";"Ministério da Economia";"Ministério da Economia - Unidades com vínculo direto";"SUPERINTENDENCIA REG. ADM. DO ME-MINAS GERAIS";"Evento de Resultado de Julgamento Publicado";"Pregão";"Sem informação";"00020/2023";
"03/01/2024";"13/12/2023";"Ministério de Minas e Energia";"Companhia de Pesquisa de Recursos Minerais";"COMPANHIA DE PESQUISA DE RECURSOS MINERAIS";"Publicado";"Pregão";"Sem informação";"00234/2023";
"03/01/2024";"08/12/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO ONOFRE LOPES";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00093/2023";
"03/01/2024";"14/12/2023";"Ministério de Minas e Energia";"Companhia de Pesquisa de Recursos Minerais";"COMPANHIA DE PESQUISA DE RECURSOS MINERAIS";"Evento de Resultado de Julgamento Publicado";"Pregão";"Sem informação";"00233/2023";
"03/01/2024";"02/01/2024";"Ministério da Educação";"Instituto Federal do Amazonas";"IFAM - CAMPUS PARINTINS";"Publicado";"Pregão";"Sem informação";"00001/2023";
"03/01/2024";"29/11/2023";"Ministério da Defesa";"Comando do Exército";"HOSPITAL MILITAR DE AREA DE RECIFE";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00041/2023";
"03/01/2024";"21/09/2023";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO ONOFRE LOPES";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00061/2023";
"03/01/2024";"15/12/2023";"Ministério da Infraestrutura";"Departamento Nacional de Infraestrutura de Transportes";"SUPERINTENDENCIA REG. NO ESTADO MG - DNIT";"Publicado";"Pregão";"Contrato";"00559/2023";
"03/01/2024";"29/12/2023";"Ministério do Turismo";"Instituto Brasileiro de Museus";"ESCRITORIO DE REPRESENTACAO DO IBRAM/RJ";"Evento de Resultado de Julgamento Publicado";"Pregão";"Contrato";"00015/2023";
"03/01/2024";"Sem informação";"Ministério da Agricultura, Pecuária e Abastecimento";"Empresa Brasileira de Pesquisa Agropecuária";"EMBRAPA/SGE-GCIN";"Publicado";"Inexigibilidade de Licitação";"Sem informação";"00027/2023";
"03/01/2024";"Sem informação";"Ministério da Agricultura, Pecuária e Abastecimento";"Empresa Brasileira de Pesquisa Agropecuária";"EMBRAPA/SGE-GCIN";"Publicado";"Dispensa de Licitação";"Sem informação";"00164/2023";
"03/01/2024";"Sem informação";"Ministério da Educação";"Instituto Federal do Mato Grosso";"INST.FED.DE EDUC.,CIENC.E TEC.DO MATO GROSSO";"Evento de Alteração Publicado";"Concorrência";"Contrato";"00002/2023";
"03/01/2024";"12/12/2023";"Ministério da Educação";"Fundação Universidade Federal de Rondônia";"FUNDACAO UNIVERSIDADE FEDERAL DE RONDONIA";"Evento de Alteração Publicado";"Pregão - Registro de Preço";"Sem informação";"00024/2023";
"03/01/2024";"28/11/2023";"Ministério do Trabalho e Emprego";"Ministério do Trabalho e Emprego - Unidades com vínculo direto";"SENAC - ADMINISTRACAO REGIONAL EM M. GERAIS";"Divulgado";"Pregão";"Sem informação";"00040/2023";
"03/01/2024";"16/02/2023";"Ministério da Educação";"Universidade Federal de Pernambuco";"UNIVERSIDADE FEDERAL DE PERNAMBUCO";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00009/2023";
"03/01/2024";"Sem informação";"Ministério da Agricultura, Pecuária e Abastecimento";"Empresa Brasileira de Pesquisa Agropecuária";"EMBRAPA/CNPAT";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00015/2023";
"03/01/2024";"15/12/2023";"Ministério da Infraestrutura";"Departamento Nacional de Infraestrutura de Transportes";"SUPERINTENDENCIA REG. NO ESTADO MG - DNIT";"Publicado";"Pregão";"Contrato";"00552/2023";
"03/01/2024";"22/12/2023";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"INST. NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA";"Evento de Resultado de Julgamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00208/2023";
"03/01/2024";"03/01/2024";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO PROF ALBERTO ANTUNES";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00065/2023";
"03/01/2024";"28/11/2023";"Ministério da Economia";"Casa da Moeda do Brasil";"CASA DA MOEDA DO BRASIL";"Divulgado";"Pregão";"Sem informação";"00102/2023";
"03/01/2024";"28/12/2023";"Ministério de Minas e Energia";"Companhia de Pesquisa de Recursos Minerais";"COMPANHIA DE PESQUISA DE RECURSOS MINERAIS";"Evento de Adiamento Publicado";"Pregão - Registro de Preço";"Sem informação";"00242/2023";
