"Ano";"Tipo de Emenda";"Autor da emenda";"Número da emenda";"Localidade do gasto (Regionalização)";"Função";"Subfunção";"Programa Orçamentário";"Ação Orçamentária";"Plano Orçamentário";"Código da emenda";"Valor empenhado";"Valor liquidado";"Valor pago";"Valor Restos a Pagar Inscritos";"Valor Restos a Pagar Cancelados";"Valor Restos a Pagar Pagos";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"LUISA CANZIANI";"0007";"PARANÁ (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"5118 - ATENCAO ESPECIALIZADA A SAUDE";"2E90 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS";"INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ASSISTENCIA HOSPITALAR E AMBULATORIAL PARA CUMPRIMENTO DE METAS";"202440340007";"10.000,00";"10.000,00";"10.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ROGERIO MARINHO";"0011";"RIO GRANDE DO NORTE (UF)";"Urbanismo";"infra-estrutura urbana";"2317 - DESENVOLVIMENTO REGIONAL E ORDENAMENTO TERRITORIAL";"00VH - APOIO A PROJETOS PARA DESENVOLVIMENTO REGIONAL";"APOIO A PROJETOS PARA DESENVOLVIMENTO REGIONAL";"202442760011";"10.650,00";"8.870,10";"8.629,63";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"AFONSO HAMM";"0014";"RIO GRANDE DO SUL (UF)";"Educação";"Ensino profissional";"5112 - EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA";"20RG - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";"CODIGO INEXISTENTE NO SIAFI";"202420980014";"10.719,07";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"DELEGADO CAVEIRA";"0005";"PARÁ (UF)";"Urbanismo";"infra-estrutura urbana";"2317 - DESENVOLVIMENTO REGIONAL E ORDENAMENTO TERRITORIAL";"00VH - APOIO A PROJETOS PARA DESENVOLVIMENTO REGIONAL";"APOIO A PROJETOS PARA DESENVOLVIMENTO REGIONAL";"202443450005";"11.391,28";"1.391,28";"1.391,28";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"GENERAL PAZUELLO";"0012";"Nacional";"Defesa nacional";"Defesa naval";"6112 - DEFESA NACIONAL";"219D - ADEQUACAO DE ATIVOS DE INFRAESTRUTURA DAS ORGANIZACOES MILITARES";"CODIGO INEXISTENTE NO SIAFI";"202443800012";"11.756,72";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"BENEDITA DA SILVA";"0008";"RIO DE JANEIRO (UF)";"Cultura";"Difusão cultural";"5125 - DIREITO A CULTURA";"211F - FUNCIONAMENTO DE ESPACOS E EQUIPAMENTOS CULTURAIS";"CODIGO INEXISTENTE NO SIAFI";"202413100008";"12.112,41";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"MIGUEL ANGELO";"0019";"MINAS GERAIS (UF)";"Educação";"Ensino profissional";"5112 - EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA";"20RL - FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";"CODIGO INEXISTENTE NO SIAFI";"202444340019";"12.343,71";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"FLAVIO ARNS";"0010";"PARANÁ (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20RK - FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR";"CODIGO INEXISTENTE NO SIAFI";"202420380010";"12.600,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"DELEGADO CAVEIRA";"0004";"PARÁ (UF)";"Urbanismo";"Assistência comunitária";"2317 - DESENVOLVIMENTO REGIONAL E ORDENAMENTO TERRITORIAL";"00SX - APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL LOCAL INTEGRADO";"APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL LOCAL INTEGRADO";"202443450004";"13.500,00";"1.633,11";"1.633,11";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ARLINDO CHINAGLIA";"0007";"SÃO PAULO (UF)";"Educação";"Ensino profissional";"5112 - EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA";"20RL - FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";"CODIGO INEXISTENTE NO SIAFI";"202431350007";"13.621,00";"7.328,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ALEXANDRE LINDENMEYER";"0011";"RIO GRANDE DO SUL (UF)";"Agricultura";"Desenvolvimento tecnológico e engenharia";"2303 - PESQUISA E INOVACAO AGROPECUARIA";"20Y6 - PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA";"PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA - DESPESAS DIVERSAS";"202442950011";"13.631,10";"2.400,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"JANDIRA FEGHALI";"0015";"RIO DE JANEIRO (UF)";"Educação";"Educação básica";"5111 - EDUCACAO BASICA DEMOCRATICA, COM QUALIDADE E EQUIDADE";"20RI - FUNCIONAMENTO DAS INSTITUICOES FEDERAIS DE EDUCACAO BASICA";"CODIGO INEXISTENTE NO SIAFI";"202417750015";"15.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"VENEZIANO VITAL DO REGO";"0009";"PARAÍBA (UF)";"Urbanismo";"Assistência comunitária";"2317 - DESENVOLVIMENTO REGIONAL E ORDENAMENTO TERRITORIAL";"00SX - APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL LOCAL INTEGRADO";"APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL LOCAL INTEGRADO";"202440880009";"15.000,00";"5.000,00";"5.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"DR. FREDERICO";"0007";"MINAS GERAIS (UF)";"Urbanismo";"infra-estrutura urbana";"2319 - MOBILIDADE URBANA";"00T1 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO VOLTADO A IMPLANTACAO E QUALIFICACAO VIARIA";"CODIGO INEXISTENTE NO SIAFI";"202439600007";"15.795,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ROSANA VALLE";"0016";"Nacional";"Agricultura";"Desenvolvimento tecnológico e engenharia";"2303 - PESQUISA E INOVACAO AGROPECUARIA";"20Y6 - PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA";"PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA - DESPESAS DIVERSAS";"202441710016";"16.560,00";"16.560,00";"16.560,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"JOSE AIRTON FELIX CIRILO";"0009";"CEARÁ (UF)";"Urbanismo";"Assistência comunitária";"2317 - DESENVOLVIMENTO REGIONAL E ORDENAMENTO TERRITORIAL";"00SX - APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL LOCAL INTEGRADO";"APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL LOCAL INTEGRADO";"202424410009";"16.709,00";"1.450,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"BETO FARO";"0015";"PARÁ (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"8282 - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR";"CODIGO INEXISTENTE NO SIAFI";"202442660015";"16.888,00";"15.429,00";"11.700,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ROMARIO";"0001";"Nacional";"Defesa nacional";"Defesa naval";"6112 - DEFESA NACIONAL";"219D - ADEQUACAO DE ATIVOS DE INFRAESTRUTURA DAS ORGANIZACOES MILITARES";"CODIGO INEXISTENTE NO SIAFI";"202437990001";"17.287,90";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"CHRIS TONIETTO";"0020";"Nacional";"Defesa nacional";"Formação de recursos humanos";"6112 - DEFESA NACIONAL";"20XR - CAPACITACAO PROFISSIONAL DA MARINHA";"CAPACITACAO PROFISSIONAL DA MARINHA - DESPESAS DIVERSAS";"202439420020";"17.369,29";"11.046,60";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"AUGUSTO COUTINHO";"0007";"PERNAMBUCO (UF)";"Educação";"Ensino profissional";"5112 - EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA";"20RG - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";"CODIGO INEXISTENTE NO SIAFI";"202427180007";"18.014,97";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"GILSON DANIEL";"0011";"ESPÍRITO SANTO (UF)";"Gestão ambiental";"Administração geral";"0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2000 - ADMINISTRACAO DA UNIDADE";"ADMINISTRACAO DA UNIDADE - DESPESAS DIVERSAS";"202443830011";"18.900,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"TALIRIA PETRONE";"0014";"RIO DE JANEIRO (UF)";"Educação";"Educação básica";"5111 - EDUCACAO BASICA DEMOCRATICA, COM QUALIDADE E EQUIDADE";"20RI - FUNCIONAMENTO DAS INSTITUICOES FEDERAIS DE EDUCACAO BASICA";"CODIGO INEXISTENTE NO SIAFI";"202440700014";"19.700,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"CELIA XAKRIABA";"0014";"MINAS GERAIS (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS";"202443220014";"20.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"PROF. REGINALDO VERAS";"0002";"DISTRITO FEDERAL (UF)";"Agricultura";"Desenvolvimento tecnológico e engenharia";"2303 - PESQUISA E INOVACAO AGROPECUARIA";"20Y6 - PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA";"PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA - DESPESAS DIVERSAS";"202444490002";"20.510,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ROGERIO MARINHO";"0013";"RIO GRANDE DO NORTE (UF)";"Gestão ambiental";"Recursos hídricos";"2321 - RECURSOS HIDRICOS: AGUA EM QUANTIDADE E QUALIDADE PARA SEMPRE";"1851 - AQUISICAO DE EQUIPAMENTOS E/OU IMPLANTACAO DE OBRAS DE INFRAESTRUTURA HIDRICA DE PEQUENO E MEDIO VULTO";"CODIGO INEXISTENTE NO SIAFI";"202442760013";"20.600,00";"492,10";"492,10";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"RODRIGO DE CASTRO";"0006";"MINAS GERAIS (UF)";"Urbanismo";"Assistência comunitária";"2317 - DESENVOLVIMENTO REGIONAL E ORDENAMENTO TERRITORIAL";"00SX - APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL LOCAL INTEGRADO";"APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL LOCAL INTEGRADO";"202424880006";"21.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ZE VITOR";"0009";"MINAS GERAIS (UF)";"Urbanismo";"Assistência comunitária";"2317 - DESENVOLVIMENTO REGIONAL E ORDENAMENTO TERRITORIAL";"00SX - APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL LOCAL INTEGRADO";"APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL LOCAL INTEGRADO";"202440770009";"21.000,00";"6.451,64";"1.964,20";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"AFONSO HAMM";"0005";"Nacional";"Agricultura";"Desenvolvimento tecnológico e engenharia";"2303 - PESQUISA E INOVACAO AGROPECUARIA";"20Y6 - PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA";"PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA - DESPESAS DIVERSAS";"202420980005";"21.280,00";"21.280,00";"21.280,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"RICARDO BARROS";"0004";"Nacional";"Cultura";"Patrimônio histórico, artístico e arqueológico";"5125 - DIREITO A CULTURA";"20ZH - PRESERVACAO DO PATRIMONIO CULTURAL BRASILEIRO";"PRESERVACAO DO PATRIMONIO CULTURAL BRASILEIRO - DESPESAS DIVERSAS";"202433320004";"23.200,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"LIDICE DA MATA";"0004";"BAHIA (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"CODIGO INEXISTENTE NO SIAFI";"202424680004";"23.460,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"CHICO ALENCAR";"0006";"RIO DE JANEIRO (UF)";"Cultura";"Patrimônio histórico, artístico e arqueológico";"5125 - DIREITO A CULTURA";"20ZH - PRESERVACAO DO PATRIMONIO CULTURAL BRASILEIRO";"PRESERVACAO DO PATRIMONIO CULTURAL BRASILEIRO - DESPESAS DIVERSAS";"202414680006";"24.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ROGERIO CORREIA";"0012";"MINAS GERAIS (UF)";"Educação";"Ensino profissional";"5112 - EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA";"21B3 - FOMENTO AS ACOES DE ENSINO, PESQUISA, EXTENSAO E INOVACAO NA EDUCACAO PROFISSIONAL E TECNOLOGICA";"CODIGO INEXISTENTE NO SIAFI";"202440640012";"24.600,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"REGINALDO LOPES";"0011";"MINAS GERAIS (UF)";"Educação";"Ensino profissional";"5112 - EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA";"20RL - FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";"CODIGO INEXISTENTE NO SIAFI";"202414110011";"25.000,00";"3.584,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ZE SILVA";"0008";"MINAS GERAIS (UF)";"Urbanismo";"Assistência comunitária";"2317 - DESENVOLVIMENTO REGIONAL E ORDENAMENTO TERRITORIAL";"00SX - APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL LOCAL INTEGRADO";"APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL LOCAL INTEGRADO";"202427690008";"27.266,93";"807,37";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"PROFESSORA GORETH";"0003";"AMAPÁ (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"CODIGO INEXISTENTE NO SIAFI";"202444500003";"28.770,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"EFRAIM FILHO";"0023";"JOÃO PESSOA - PB";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"8282 - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR";"CODIGO INEXISTENTE NO SIAFI";"202442700023";"30.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"JOAO DANIEL";"0015";"SERGIPE (UF)";"Agricultura";"Desenvolvimento tecnológico e engenharia";"2303 - PESQUISA E INOVACAO AGROPECUARIA";"215C - MANUTENCAO E MODERNIZACAO DA INFRAESTRUTURA FISICA DAS UNIDADES DA EMBRAPA";"MANUTENCAO E MODERNIZACAO DA INFRAESTRUTURA FISICA DAS UNIDADES DA EMBRAPA - DESPESAS DIVERSAS";"202436910015";"31.174,93";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda de Bancada";"BANCADA DO ESPIRITO SANTO";"0001";"ESPÍRITO SANTO (UF)";"Segurança pública";"Policiamento";"5116 - SEGURANCA PUBLICA COM CIDADANIA";"2726 - PREVENCAO E REPRESSAO AO TRAFICO ILICITO DE DROGAS E A CRIMES PRATICADOS CONTRA BENS, SERVICOS E INTERESSES DA UNIAO";"PREVENCAO E REPRESSAO AO TRAFICO ILICITO DE DROGAS E A CRIMES PRATICADOS CONTRA BENS, SERVICOS E INTERESSES DA UNIAO - DESPESAS DIVERSAS";"202471090001";"32.550,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"PEDRO CAMPOS";"0003";"PERNAMBUCO (UF)";"Urbanismo";"infra-estrutura urbana";"2317 - DESENVOLVIMENTO REGIONAL E ORDENAMENTO TERRITORIAL";"00VH - APOIO A PROJETOS PARA DESENVOLVIMENTO REGIONAL";"APOIO A PROJETOS PARA DESENVOLVIMENTO REGIONAL";"202444470003";"35.000,00";"34.638,42";"34.638,42";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ROBERTO MONTEIRO PAI";"0013";"Nacional";"Defesa nacional";"Administração geral";"0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2000 - ADMINISTRACAO DA UNIDADE";"ADMINISTRACAO DA UNIDADE - DESPESAS DIVERSAS";"202444640013";"35.611,97";"12.341,98";"10.102,60";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"LUIZ GASTAO";"0005";"CEARÁ (UF)";"Urbanismo";"Assistência comunitária";"2317 - DESENVOLVIMENTO REGIONAL E ORDENAMENTO TERRITORIAL";"00SX - APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL LOCAL INTEGRADO";"APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL LOCAL INTEGRADO";"202444130005";"36.805,48";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"PATRUS ANANIAS";"0008";"MINAS GERAIS (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"CODIGO INEXISTENTE NO SIAFI";"202414080008";"39.040,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"VICENTINHO JUNIOR";"0015";"TOCANTINS (UF)";"Urbanismo";"Assistência comunitária";"2317 - DESENVOLVIMENTO REGIONAL E ORDENAMENTO TERRITORIAL";"00SX - APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL LOCAL INTEGRADO";"APOIO A PROJETOS DE DESENVOLVIMENTO SUSTENTAVEL LOCAL INTEGRADO";"202437750015";"39.752,65";"28.860,07";"28.860,07";"0,00";"0,00";"0,00";
