"DATA ASSINATURA CONTRATO";"DATA PUBLICAÇÃO DOU";"DATA INÍCIO VIGÊNCIA";"DATA FIM VIGÊNCIA";"ORGÃO SUPERIOR CONTRATANTE";"ÓRGÃO / ENTIDADE VINCULADA CONTRATANTE";"UNIDADE GESTORA CONTRATANTE";"FORMA DE CONTRATAÇÃO";"GRUPO DE OBJETO DE CONTRATAÇÃO";"NÚMERO DO CONTRATO";"NOME DO FORNECEDOR";"CPF / CNPJ DO FORNECEDOR";"SITUAÇÃO";"VALOR CONTRATADO";
"06/03/2024";"08/03/2024";"06/03/2024";"06/03/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"EBSERH COMPLEXO HOSPITALAR DO CEARA";"Sem Informação";"Outros";"00003/2024";"ROSS MEDICAL LTDA";"08.747.635/0001-69";"Não se aplica";"0,00";
"06/03/2024";"08/03/2024";"06/03/2024";"06/03/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"EBSERH COMPLEXO HOSPITALAR DO CEARA";"Sem Informação";"Outros";"00005/2024";"AUTO SUTURE DO BRASIL LTDA.";"01.645.409/0003-90";"Não se aplica";"0,00";
"12/03/2024";"14/03/2024";"12/03/2024";"12/03/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"EBSERH COMPLEXO HOSPITALAR DO CEARA";"Sem Informação";"Outros";"00004/2024";"CM HOSPITALAR S.A.";"12.420.164/0009-04";"Não se aplica";"0,00";
"12/03/2024";"14/03/2024";"12/03/2024";"12/03/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"EBSERH COMPLEXO HOSPITALAR DO CEARA";"Sem Informação";"Outros";"00007/2024";"ART MEDICA COMERCIO E REPRESENTACOES DE PRODUTOS HOSPITALARES LTDA.";"02.626.340/0001-58";"Não se aplica";"0,00";
"12/03/2024";"14/03/2024";"12/03/2024";"12/03/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"EBSERH COMPLEXO HOSPITALAR DO CEARA";"Sem Informação";"Outros";"00008/2024";"ARTE IMPLANTES MATERIAIS CIRURGICOS LTDA";"23.651.234/0001-02";"Não se aplica";"0,00";
"21/03/2024";"25/03/2024";"21/03/2024";"21/03/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"EBSERH COMPLEXO HOSPITALAR DO CEARA";"Sem Informação";"Outros";"00009/2024";"CSE EQUIPAMENTOS E SERVICOS LTDA";"02.994.122/0001-76";"Não se aplica";"0,00";
"19/03/2024";"21/03/2024";"22/03/2024";"22/03/2027";"Ministério da Educação";"Fundação Universidade Federal do ABC";"FUNDACAO UNIVERSIDADE FEDERAL DO ABC";"Sem Informação";"Outros";"00004/2024";"FUNDACAO DE DESENVOLVIMENTO DA PESQUISA";"18.720.938/0001-41";"Não se aplica";"0,00";
"28/03/2024";"03/04/2024";"28/03/2024";"28/03/2026";"Ministério da Educação";"Ministério da Educação - Unidades com vínculo direto";"SUBSECRETARIA DE ASSUNTOS ADMINISTRATIVOS/MEC";"Sem Informação";"Outros";"00005/2024";"CAIXA ECONOMICA FEDERAL";"00.360.305/0001-04";"Não se aplica";"0,00";
"02/04/2024";"04/04/2024";"02/04/2024";"02/04/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"EBSERH COMPLEXO HOSPITALAR DO CEARA";"Sem Informação";"Outros";"00010/2024";"UNIT - INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO LIMITADA";"66.969.262/0001-77";"Não se aplica";"0,00";
"04/04/2024";"05/04/2024";"04/04/2024";"04/04/2025";"Ministério da Defesa";"Comando da Marinha";"POLICLINICA NAVAL NOSSA SENHORA DA GLORIA";"Sem Informação";"Outros";"00600/2024";"INSTITUTO HERMES PARDINI S/A";"19.378.769/0116-15";"Não se aplica";"0,00";
"04/04/2024";"05/04/2024";"04/04/2024";"04/04/2025";"Ministério da Defesa";"Comando da Marinha";"POLICLINICA NAVAL NOSSA SENHORA DA GLORIA";"Sem Informação";"Outros";"00700/2024";"INSTITUTO HERMES PARDINI - COPACABANA";"19.378.769/0121-82";"Não se aplica";"0,00";
"16/04/2024";"17/04/2024";"17/04/2024";"25/09/2024";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL UNIVERSITARIO DE SANTA MARIA";"Pregão - Registro de Preço";"Outros";"00015/2024";"CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA";"44.734.671/0022-86";"Não se aplica";"0,00";
"10/01/2024";"23/01/2024";"10/01/2024";"10/01/2025";"Ministério da Defesa";"Comando do Exército";"PARQUE REGIONAL DE MANUTENCAO/12";"Pregão";"Outros";"00001/2024";"ANA MARIA PEIXOTO";"***.566.106-**";"Não se aplica";"0,00";
"09/02/2024";"19/02/2024";"09/02/2024";"09/02/2025";"Ministério da Educação";"Instituto Federal de Pernambuco";"IFPE - CAMPUS GARANHUNS";"Pregão - Registro de Preço";"Outros";"00002/2024";"FLARES AGUIAR DA SILVA";"***.449.809-**";"Não se aplica";"0,00";
"20/02/2024";"21/02/2024";"20/02/2024";"19/02/2025";"Ministério da Defesa";"Comando do Exército";"9 BATALHAO DE ENGENHARIA DE CONSTRUCAO";"Pregão - Registro de Preço";"Outros";"00002/2024";"FLARES AGUIAR DA SILVA";"***.449.809-**";"Não se aplica";"0,00";
"12/04/2024";"15/04/2024";"01/05/2024";"30/04/2025";"Ministério da Economia";"Ministério da Economia - Unidades com vínculo direto";"GERENCIA REG. ADMINISTRACAO DO ME-MATO GROSSO";"Pregão - Registro de Preço";"Outros";"00002/2024";"FLARES AGUIAR DA SILVA";"***.449.809-**";"Não se aplica";"0,00";
"09/02/2024";"16/02/2024";"09/02/2024";"09/02/2026";"Ministério da Justiça e Segurança Pública";"Departamento de Polícia Federal";"DIRETORIA DE TECNOLOGIA DA INFORM.E INOVACAO";"Pregão";"Outros";"00002/2024";"SITA INC DO BRASIL LTDA";"03.597.703/0001-37";"Não se aplica";"0,01";
"07/03/2024";"12/03/2024";"07/03/2024";"07/03/2029";"Ministério da Defesa";"Comando do Exército";"BASE DE APOIO REGIONAL DE SOROCABA";"Inexigibilidade de Licitação";"Outros";"00004/2023";"BANCO DE OLHOS DE SOROCABA";"50.795.566/0002-06";"Não se aplica";"0,01";
"29/02/2024";"07/03/2024";"29/02/2024";"28/02/2029";"Ministério da Defesa";"Comando do Exército";"BASE DE APOIO REGIONAL DE SOROCABA";"Inexigibilidade de Licitação";"Outros";"00007/2023";"CLINICA HIPERBARICA SOROCABA LTDA";"19.416.390/0001-03";"Não se aplica";"0,01";
"11/03/2024";"18/03/2024";"11/03/2024";"11/03/2029";"Ministério da Defesa";"Comando do Exército";"BASE DE APOIO REGIONAL DE SOROCABA";"Inexigibilidade de Licitação";"Outros";"00010/2023";"A ESTANCIA MORRO GRANDE - CENTRO DE REABILITACAO SOCIAL LTDA";"05.832.865/0001-38";"Não se aplica";"0,01";
"03/01/2024";"09/01/2024";"03/01/2024";"02/09/2025";"Ministério das Comunicações";"Agêncial Nacional de Telecomunicações";"AGENCIA NACIONAL DE TELECOMUNICACOES-SEDE";"Pregão";"Outros";"00182/2023";"DANIEL ELIAS GARCIA";"27.874.310/0001-91";"Não se aplica";"0,01";
"26/02/2024";"22/03/2024";"26/02/2024";"25/02/2025";"Ministério da Defesa";"Fundação Habitacional do Exército";"FUND.HAB.EXERCITO - DIFERENCA DA INTEGRACAO";"Sem Informação";"Outros";"01847/2024";"ZETRASOFT LTDA.";"03.881.239/0001-06";"Não se aplica";"0,01";
"04/03/2024";"Sem informação";"04/03/2024";"31/12/2024";"Ministério da Defesa";"Fundação Habitacional do Exército";"FUND.HAB.EXERCITO - DIFERENCA DA INTEGRACAO";"Sem Informação";"Outros";"01849/2024";"JORGE VINICIUS DE MOURA CORREA";"***.689.509-**";"Não se aplica";"0,01";
"07/03/2024";"12/03/2024";"07/03/2024";"07/03/2029";"Ministério da Defesa";"Comando do Exército";"BASE DE APOIO REGIONAL DE SOROCABA";"Inexigibilidade de Licitação";"Outros";"00003/2023";"LINUS PAULING MEDICINA DIAGNOSTICALTDA.";"60.118.726/0001-55";"Não se aplica";"0,01";
"18/01/2024";"19/01/2024";"22/01/2024";"10/02/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"EBSERH CHC-UFPR";"Pregão - Registro de Preço";"Outros";"00003/2024";"BAXTER HOSPITALAR LTDA";"49.351.786/0011-52";"Não se aplica";"0,02";
"12/01/2024";"15/01/2024";"22/01/2024";"06/04/2025";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"EBSERH CHC-UFPR";"Pregão - Registro de Preço";"Outros";"00002/2024";"DIAMED LATINO AMERICA S.A";"71.015.853/0001-45";"Não se aplica";"0,16";
"09/04/2024";"09/04/2024";"20/04/2024";"20/04/2025";"Ministério da Defesa";"Comando do Exército";"3 BATALHAO DE SUPRIMENTO";"Sem Informação";"Outros";"00001/2024";"EMPRESA BRASIL DE COMUNICACAO S.A";"115406";"Não se aplica";"1,00";
"05/03/2024";"14/03/2024";"05/03/2024";"03/06/2024";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"DISTRITO SANIT.ESP.INDIGENA - CEARA";"Pregão - Registro de Preço";"Materiais";"00014/2024";"ANVAX COMPANY HIGIENE E PERFUMARIA LTDA";"34.346.501/0001-46";"Não se aplica";"6,40";
"27/02/2024";"29/02/2024";"01/03/2024";"29/05/2024";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"INST. NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA";"Pregão - Registro de Preço";"Materiais";"00089/2024";"LEMAN MEDICAMENTOS E CIA LTDA";"40.600.760/0001-54";"Não se aplica";"7,00";
"11/01/2024";"12/01/2024";"11/01/2024";"11/01/2025";"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"DEPARTAMENTO DE LOGISTICA EM SAUDE - DLOG";"Sem Informação";"Outros";"00016/2024";"MULTICARE PHARMACEUTICALS LTDA";"24.331.585/0001-90";"Não se aplica";"8,20";
"26/01/2024";"30/01/2024";"29/01/2024";"04/07/2024";"Ministério da Educação";"Empresa Brasileira de Serviços Hospitalares";"HOSPITAL DAS CLINICAS DA UFG";"Pregão - Registro de Preço";"Outros";"00003/2024";"DIEX DISTRIBUIDORA, ATACADISTA, IMPORTADORA, EXPORTADORA DE MEDICAMENTOS E PRODU";"08.798.468/0002-66";"Não se aplica";"9,10";
